timestamp,vehicle_id,packet_size,e2e_delay,service_time
44.4480024948,10.0.0.3,918,0.0000008124,0.0436449
44.458003126,10.0.0.2,1181,0.0000010228,0.0839479
44.5280029796,10.0.0.2,1120,0.000000974,0.149279
44.7010028476,10.0.0.2,1065,0.00000093,0.0215522
44.7190026796,10.0.0.1,995,0.000000874,0.000305194
44.8870025572,10.0.0.1,944,0.0000008332,0.0184321
44.9090028932,10.0.0.1,1084,0.0000009452,0.280683
45.2030031404,10.0.0.2,1187,0.0000010276,0.0465057
45.2900026748,10.0.0.2,993,0.0000008724,0.0652291
45.3090026724,10.0.0.1,992,0.0000008716,0.0261274
45.3300029268,10.0.0.2,1098,0.0000009564,0.132453
45.5250028284,10.0.0.2,1057,0.0000009236,0.14426
45.5930030564,10.0.0.2,1152,0.0000009996,0.0662934
45.6790025044,10.0.0.3,922,0.0000008156,0.187234
46.220002586,10.0.0.1,956,0.0000008428,0.0521802
46.2810029652,10.0.0.3,1114,0.0000009692,0.0323825
46.374002586,10.0.0.3,956,0.0000008428,0.0937595
46.4160028692,10.0.0.2,1074,0.0000009372,0.0241934
46.6290026628,10.0.0.3,988,0.0000008684,0.11457
46.939003102,10.0.0.2,1171,0.0000010148,0.103408
47.0170027132,10.0.0.3,1009,0.0000008852,0.316354
47.0370028116,10.0.0.2,1050,0.000000918,0.0430764
47.129002598,10.0.0.3,961,0.0000008468,0.161616
47.1450029004,10.0.0.1,1087,0.0000009476,0.187321
47.5150029052,10.0.0.1,1089,0.0000009492,0.0354844
47.7510027036,10.0.0.2,1005,0.000000882,0.0301664
47.9260023772,10.0.0.1,869,0.0000007732,0.129971
48.3540030492,10.0.0.1,1149,0.0000009972,0.116043
48.3970028884,10.0.0.2,1082,0.0000009436,0.00965497
48.5980026028,10.0.0.3,963,0.0000008484,0.326983
48.682002466,10.0.0.3,906,0.0000008028,0.0901715
48.8370031188,10.0.0.2,1178,0.0000010204,0.0323531
49.0490028956,10.0.0.1,1085,0.000000946,0.214208
49.1730026868,10.0.0.3,998,0.0000008764,0.080085
49.3210030228,10.0.0.2,1138,0.0000009884,0.318296
49.4470026604,10.0.0.2,987,0.0000008676,0.000888376
49.57700297,10.0.0.2,1116,0.0000009708,0.111082
49.7330022932,10.0.0.2,834,0.0000007452,0.0039286
49.7450028308,10.0.0.1,1058,0.0000009244,0.0172789
49.783002838,10.0.0.3,1061,0.0000009268,0.0918042
49.8090022812,10.0.0.3,829,0.0000007412,0.0424621
49.8270025476,10.0.0.1,940,0.00000083,0.0411568
49.82900279,10.0.0.2,1041,0.0000009108,0.00219502
49.8900028188,10.0.0.3,1053,0.0000009204,0.0330501
49.9810028788,10.0.0.1,1078,0.0000009404,0.288364
50.0280030684,10.0.0.2,1157,0.0000010036,0.0942116
50.2270025644,10.0.0.2,947,0.0000008356,0.389167
50.362002658,10.0.0.1,986,0.0000008668,0.012971
50.3820026844,10.0.0.3,997,0.0000008756,0.299023
50.538003138,10.0.0.3,1186,0.0000010268,0.0670878
50.5570029292,10.0.0.2,1099,0.0000009572,0.0159115
50.5610024876,10.0.0.1,915,0.00000081,0.102436
50.5700026532,10.0.0.3,984,0.0000008652,0.338233
50.7810026244,10.0.0.2,972,0.0000008556,0.197417
51.1060026076,10.0.0.3,965,0.00000085,0.129087
51.254002778,10.0.0.3,1036,0.0000009068,0.074666
51.2650028668,10.0.0.3,1073,0.0000009364,0.0874156
51.2730023988,10.0.0.2,878,0.0000007804,0.283204
51.2730034388,10.0.0.2,995,0.000000874,0.0853405
51.3320023868,10.0.0.3,873,0.0000007764,0.104266
51.343002754,10.0.0.3,1026,0.0000008988,0.05665
51.3580029292,10.0.0.2,1099,0.0000009572,0.0971792
51.6760028236,10.0.0.3,1055,0.000000922,0.108072
51.695002994,10.0.0.1,1126,0.0000009788,0.162749
51.7450031068,10.0.0.2,1173,0.0000010164,0.235316
51.8430030564,10.0.0.1,1152,0.0000009996,0.00405755
51.8750025044,10.0.0.1,922,0.0000008156,0.204939
51.9150027876,10.0.0.1,1040,0.00000091,0.144416
51.9910027804,10.0.0.1,1037,0.0000009076,0.0151799
52.1600024804,10.0.0.2,912,0.0000008076,0.0848807
52.3520026772,10.0.0.3,994,0.0000008732,0.041723
52.3580029484,10.0.0.1,1107,0.0000009636,0.0146921
52.412002874,10.0.0.3,1076,0.0000009388,0.234618
52.6120026868,10.0.0.2,998,0.0000008764,0.06502
52.9160031908,10.0.0.3,1208,0.0000010444,0.179218
52.9630026316,10.0.0.1,975,0.000000858,0.0399952
53.0140021756,10.0.0.2,785,0.000000706,0.100819
53.177002562,10.0.0.1,946,0.0000008348,0.0691558
53.191003114,10.0.0.1,1176,0.0000010188,0.0697225
